src	gpt_3_5_trans	gpt_4o_trans	ollama_trans
JMM says Soren's helicopter take off delayed over PM's security protocol, writes to President Murmu	JMM ప్రధాని సురేన్ హెలికాప్టర్ పరిగణనల వారిని నమగా ప్రయాణం ప్రారంభించడం విలంబించింది, రష్ట్రపతి మూర్ముకు రాయలు చేశాడు.	జేఎమ్మ్ అంటున్నారు సొరెన్ గారి హెలికాప్టర్ టేక్ ఆఫ్ ప్రధానమంత్రి గారి భద్రతా నిబంధనల కారణంగా ఆలస్యం అయిందని, రాష్ట్రపతి ముర్ము గారికి లేఖ రాశారు.	జేఎంఎం చెబుతున్నది, ప్రధాని భద్రతా ప్రోటోకాల్ కారణంగా సోరెన్ హెలికాప్టర్ టేకాఫ్ ఆలస్యం అయింది, రాష్ట్రపతి ముర్ములకు లేఖ వ్రాసారు.
The king who defied the British: Uncovering the tale of Pazhassi raja’s rebellion	బ్రిటిష్ అనుమతి చేయని రాజా: పాఝస్సి రాజా తీరును ప్రకటించే కథని వెలుపలు లేదు.	బ్రిటిష్‌వారిని వ్యతిరేకించిన రాజు: పഴశ్శి రాజు తిరుగుబాటు కథను వెలికితీయడం.	బ్రిటిష్ వారిని ఎదిరించిన రాజులు: పాళయి రాజాల తిరుగుబాటు కథను వెలికితీస్తున్నారు.
Vinesh Phogat's retirement U-turn predicted after her latest Instagram post creates buzz on social media	వినేష్ ఫోగట్ తన ఇటర్నెట్ పోస్టుతో సోషల్ మీడియాలో గడపార్ధం సృష్టించిన తరువాత ఆమె నివృత్తి యూ-టర్న్ అంటూ భవిష్యవాణన చేశారని ఊహించబడుతుంది.	వినేశ్ ఫోగాట్ తన తాజా ఇన్‌స్టాగ్రామ్ పోస్ట్‌తో సోషల్ మీడియాలో సంచలనం సృష్టించిన తరువాత, ఆమె రిటైర్మెంట్ నిర్ణయంలో మార్పు సంభవించే అవకాశం ఉందని అంచనా వేస్తున్నారు.	వినేష్ ఫోగట్ గారు యొక్క రిటైర్మెంట్ యు-టర్న్ ఆమె లేటెస్ట్ ఇన్స్టాగ్రామ్ పోస్ట్ సోషల్ మీడియాలో క్రేజ్ సృష్టించింది.
The Pennsylvania push: Kamala Harris, Donald Trump spend final campaign hours in swing state	పెన్సిల్వేనియా పుష్: కమలా హారిస్, డొనాల్డ్ ట్రంప్ అంతిమ ప్రచార గంటలు స్వింగ్ రాష్ట్రంలో చల్లగా కలిపివేశారు.	పెన్సిల్వేనియా ప్రచారం: కమలా హారిస్, డొనాల్డ్ ట్రంప్ స్వింగ్ రాష్ట్రంలో తుదిగంటల ప్రచారంలో పాల్గొన్నారు.	పెన్సిల్వేనియా పుష్: కమలా హారిస్, డొనాల్డ్ ట్రంప్ గారు స్వింగ్ స్టేట్ లో చివరి ప్రచార గంటలు గడిపారు.
Delhi engulfed in smog, toxic foam in Yamuna: Pics that capture national capital's pollution woes	దిల్లీ స్మాగ్లో ముందుగాలు మేకలు తీసుకున్నది, యమునాలో విషపరచే ఫోమ్: జాతీయ రాజధాని కాలుష్యాలను గ్రహించే చిత్రాలు.	దిల్లీ పొగమంచుతో నిండిపోయింది, యమునా నదిలో విషపూరిత నురుగు: జాతీయ రాజధానిలో కాలుష్య సమస్యలను చూపించే చిత్రాలు.	ఢిల్లీ స్మోగ్ లో మునిగిపోయింది, యమునాలో విషపూరిత ఫోమ్: జాతీయ రాజధాని యొక్క కాలుష్య సమస్యలను చిత్రీకరించే చిత్రాలు.
Will Muslim boycott of Kamala send Trump to the White House?	ముస్లిం కమలకు బాయ్కాట్ చేయండిగా, ట్రంప్ను వైట్ హౌస్కు పంపిస్తుందా?	కమలాను ముస్లిం బహిష్కరణ ట్రంప్‌ను వైట్ హౌస్‌కు పంపిస్తుందా?	ముస్లిములు కమలాను బహిష్కరిస్తే ట్రంప్ వైట్ హౌస్ చేరుకుంటారా?
Why Indian batters are struggling against left-arm spin	భారతీయ బ్యాటర్లు ఎడమ చుక్క డైనమోతో పోరాడతారా?	భారత బ్యాటర్లు ఎడమచేతి స్పిన్‌ బౌలింగ్‌ ముందు ఎందుకు ఇబ్బంది పడుతున్నారు?	భారతీయ బ్యాటర్లు ఎడమ-చేతి స్పిన్ కి ఎందుకు ఇబ్బంది పడుతున్నారు
JD Vance calls Kamala Harris 'trash' at Atlanta rally: 'In 2 days we're taking out the garbage'	JD Vance అట్లాంటా సభలో Kamala Harrisని 'సాక్ష్యం' అంటున్నాడు: '2 రోజుల్లో మార్పులు తీస్తున్నాం'	JD వాన్స్ అట్లాంటా ర్యాలీలో కమల హ్యారిస్‌ను 'తక్కువ స్థాయి'గా పిలిచారు: 'ఇంకా 2 రోజుల్లో మేము తిరస్కారాన్ని బయటకు తీస్తున్నాం'.	జేడ్ వాన్స్ అట్లాంటా ర్యాలీలో కమలా హారిస్ ను 'చెత్త' అని పిలుస్తున్నారు: '2 రోజుల్లో మేము చెత్తను తొలగిస్తున్నాము'
Meghan and Harry feel life in US hasn't been what they expected: Ex-staff	మెగన్ మరియు హ్యారీ అమెరికాలో జీవితం అంటే అవారానికి కావాలంటూ అనుకోవటం లేదని అనుభవిస్తున్నారు: మునుపు స్టాఫ్	మెఘన్ మరియు హ్యారీ అనుభవిస్తున్న అమెరికాలోని జీవితం వారు ఆశించినట్లు లేకపోయిందని మాజీ సిబ్బంది పేర్కొన్నారు.	మెఘాన్, హారీ అమెరికాలో జీవితం వారికి ఆశించినది కాదని మాజీ సిబ్బంది చెబుతున్నారు.
Elon Musk reacts to reports that he could be deported for immigration violation	ఆస్ట్రలియా ఇలాంటి సరికొత్త విధిని భయపడే అవకాశం ఉంటుందని ప్రకటిస్తున్న ఎలాన్ మస్క్ ప్రతిపాదించాడు.	ఎలాన్ మస్క్ గారిని వలస ఉల్లంఘన కారణంగా దేశ బహిష్కరణ చేయవచ్చని వచ్చిన నివేదికలపై ఆయన స్పందించారు.	ఎలాన్ మస్క్ వారు ఇమ్మిగ్రేషన్ ఉల్లంఘన కారణంగా వారిని దేశం నుండి తొలగించవచ్చునని వార్తలకు స్పందిస్తున్నారు.
How China is lessening its reliance on helium sourced from US	చైనా ఎలా అమెరికా నుండి దొరికే హీలియం ప్రభుత్వానిపిస్తోంది అని అనివార్యంగా తగ్గించుతోంది.	చైనా ఎలా అమెరికా నుండి సమకూర్చుకునే హీలియంపై తన ఆధారాన్ని తగ్గిస్తోంది?	చైనా యుఎస్ నుండి వచ్చే హీలియం మీద ఆధారపడటాన్ని తగ్గిస్తున్నది.
Kindle Colorsoft owners complain of a yellow bar on the e-reader’s screen	కిండల్ కలర్సాఫ్ట్ యజమానులు ఈ-రీడర్ స్క్రీన్లో పిల్ల బార్ గురించి ఫిక్షన్ చేస్తున్నారు.	కిండిల్ కలర్‌సాఫ్ట్ యజమానులు ఈ-రీడర్ స్క్రీన్‌పై పసుపు గీత కనిపిస్తుందని ఫిర్యాదు చేస్తున్నారు.	కిండిల్ కలర్సాఫ్ట్ యజమానులు ఈ-రీడర్ స్క్రీన్లో పసుపు బార్ గురించి ఫిర్యాదు చేస్తున్నారు.
