src	gpt_3_5_trans	gpt_4o_trans	ollama_trans
JMM says Soren's helicopter take off delayed over PM's security protocol, writes to President Murmu	JMM म्हणते की सोरेनच्या हेलिकॉप्टरची उड्डाण विलंबित झाली आहे पीएमच्या सुरक्षा नियमांच्या कारणे, राष्ट्रपती मुर्मुला लिहिते.	जेएमएम म्हणते की पंतप्रधानांच्या सुरक्षा प्रोटोकॉलमुळे सोरेन यांच्या हेलिकॉप्टरचे उड्डाण विलंबित झाले आहे, असे राष्ट्रपतींना लिहिले आहे.	जेएमएम सांगते की सोरेन यांचे हेलिकॉप्टरचे उड्डाण पंतप्रधानांच्या सुरक्षा प्रोटोकॉलमुळे विलंबित झाले, राष्ट्रपती मुर्मू यांना पत्र लिहिले.
The king who defied the British: Uncovering the tale of Pazhassi raja’s rebellion	ब्रिटिशांच्या विरुद्ध उत्तर दिलेले राजा: पझस्सी राजाच्या विद्रोहाची कहाणी उघड्णारी	ब्रिटिशांना आव्हान देणारे राजे: पझाशी राजांच्या बंडाची कथा उलगडताना	राजे ज्यांनी ब्रिटिशांना आव्हान दिले: पझास्सी राजांच्या बंडाची कथा उघड करत आहोत
Vinesh Phogat's retirement U-turn predicted after her latest Instagram post creates buzz on social media	विनेश फोगाटच्या नवीन इंस्टाग्राम पोस्टनंतर सोशल मीडियावर धमाल तयार होत असून, तिन्हीचा निवृत्ती यु-टर्न अपेक्षित आहे.	विनेश फोगाट यांच्या नवीनतम इन्स्टाग्राम पोस्टने सोशल मीडियावर चर्चेची लाट निर्माण केली असून त्यांच्या निवृत्तीबाबत त्यांनी घेतलेल्या निर्णयातून बदल होण्याची शक्यता व्यक्त केली जात आहे.	विनेश फोगाटांचा निवृत्तीचा वळण फेरफार झाल्यानंतर त्यांच्या नवीन इंस्टाग्राम पोस्टने सोशल मीडियावर खळबळ उडाली.
The Pennsylvania push: Kamala Harris, Donald Trump spend final campaign hours in swing state	पेन्सिल्व्हेनिया धक्कादायक: कमला हॅरिस, डोनाल्ड ट्रंप स्विंग राज्यातील अंतिम चुनाव तास बितीच्या क्षणींसाठी खर्च करतात.	पेनसिल्व्हेनियाची धडपड: कमला हॅरिस आणि डोनाल्ड ट्रम्प शेवटच्या प्रचाराच्या तासांमध्ये स्विंग राज्यात वेळ घालवतात.	पेन्सिल्व्हानिया पुश: कामाला हॅरिस, डोनाल्ड ट्रम्प अंतिम प्रचार तास स्विंग स्टेटमध्ये व्यतीत करतात.
Delhi engulfed in smog, toxic foam in Yamuna: Pics that capture national capital's pollution woes	दिल्ली स्मॉगमध्ये लपविलेली, यमुना नदीत विषारी कडक: राष्ट्रपतीय राजधानीच्या प्रदूषण चिंता दर्शवणारे चित्रे	दिल्ली धुक्याने वेढली गेली आहे, आणि यमुनामध्ये विषारी फेस आहे: राष्ट्रीय राजधानीच्या प्रदूषणाच्या समस्यांचे चित्रण करणारे फोटो.	दिल्ली धुम्रपानाने वेढली गेली आहे, यमुनेत विषारी फोम: राष्ट्रीय राजधानीच्या प्रदूषणाच्या वेदना टिपणाऱ्या चित्रां
Will Muslim boycott of Kamala send Trump to the White House?	कमालाचा मुस्लिम बॉयकॉट ट्रंपाला व्हाइट हाऊसमध्ये पाठवेल का?	"""कामालाच्या बहिष्कारामुळे मुस्लीमांनी ट्रम्प यांना व्हाइट हाऊसमध्ये पाठवणार का?"""	कमाला ला मुस्लिमांचा बहिष्कार ट्रंपला व्हाइट हाउसात पाठवील का?
Why Indian batters are struggling against left-arm spin	भारतीय बॅट्समन डावीकडील स्पिनर्सविरुद्ध कठिणाई सामोरे असतात का?	भारतीय फलंदाज डावखुऱ्या फिरकीविरुद्ध का संघर्ष करत आहेत?	भारतीय बॅट्समॅन लेफ्ट-आर्म स्पिन विरुद्ध का संघर्ष करत आहेत
JD Vance calls Kamala Harris 'trash' at Atlanta rally: 'In 2 days we're taking out the garbage'	जेडी व्हॅन्स अटलांटा रॅलीत कमला हॅरिसला 'कचरा' म्हणून बोलतो: '2 दिवसांत आपला कचरा निघणार आहे'	जेडी वॅन्स यांनी अटलांटा रॅलीत कमला हॅरिस यांना 'कचरा' म्हटले: 'दोन दिवसांत आम्ही कचरा बाहेर काढणार आहोत'.	जेड व्हान्स यांनी अटलांटा रॅलीमध्ये कमला हॅरिस यांना 'कचरा' म्हटले: '२ दिवसांत आम्ही कचरा काढून टाकतो'
Meghan and Harry feel life in US hasn't been what they expected: Ex-staff	मेघन आणि हॅरीला वाटतं की संयुक्त राज्यातील जीवन त्यांनी काहीही अपेक्षित केलं नाही: पूर्व कर्मचारींसाठी	मेघन आणि हॅरी यांना वाटते की अमेरिकेतील जीवन त्यांच्या अपेक्षेप्रमाणे नाही: माजी कर्मचारी	मेगन आणि हॅरी यांना अमेरिकेतील जीवन त्यांच्या अपेक्षेप्रमाणे नाही असे वाटते: माजी स्टाफ.
Elon Musk reacts to reports that he could be deported for immigration violation	एलॉन मस्कांच्या प्रतिक्रिया ज्या अहवालांनुसार त्याला प्रवास उल्लंघनासाठी निष्कासित केले जाऊ शकतो असं विचारले जात आहे.	एलोन मस्क यांनी स्थलांतर नियमांचे उल्लंघन केल्याबद्दल त्यांना हद्दपार केले जाऊ शकते या अहवालांवर प्रतिक्रिया दिल्या.	ईलोन मस्क यांना आपल्या स्थलांतर विघ्नाबद्दलच्या अहवालांना प्रतिक्रिया देतात.
