src	gpt_3_5_trans	gpt_4o_trans	ollama_trans
JMM says Soren's helicopter take off delayed over PM's security protocol, writes to President Murmu	जेएमएम बताती है कि सोरेन का हेलीकॉप्टर पीएम की सुरक्षा प्रोटोकॉल के कारण देरी से उड़ान भरेगा, राष्ट्रपति मुर्मू को पत्र लिखती है।	JMM कहता है कि सोरेन के हेलीकॉप्टर का टेक ऑफ प्रधानमंत्री की सुरक्षा प्रोटोकॉल के कारण देरी से हुआ, राष्ट्रपति मुर्मु को पत्र लिखा।	जेएमएम का कहना है कि प्रधानमंत्री की सुरक्षा प्रोटोकॉल के कारण सोरेन के हेलीकॉप्टर के उड़ान में देरी हुई, राष्ट्रपति मुर्मू को पत्र लिखते हैं।
The king who defied the British: Uncovering the tale of Pazhassi raja’s rebellion	जो ब्रिटिश के खिलाफ उत्तराधिकारी थे: पाझसी राजा के विद्रोह की कहानी खोजना	ब्रिटिशों को चुनौती देने वाले राजा: पज़्हस्सी राजा के विद्रोह की कहानी का अनावरण	वे राजा जिन्होंने ब्रिटिश की चुनौती दी: पज़हस्सी राजा के विद्रोह की कहानी का अनावरण
Vinesh Phogat's retirement U-turn predicted after her latest Instagram post creates buzz on social media	विनेश फोगाट की रिटायरमेंट यू-टर्न की पूर्वानुमानित हो रही है उसके नवीनतम इंस्टाग्राम पोस्ट के चलते, जिससे सोशल मीडिया पर चर्चा हो रही है।	विनेश फोगाट के नवीनतम इंस्टाग्राम पोस्ट के बाद उनके संन्यास के फैसले पर पुनर्विचार की संभावना है, जिससे सोशल मीडिया पर चर्चा हो रही है।	विनेश फोगाट के सेवानिवृत्ति के यू-टर्न की भविष्यवाणी उनके नवीनतम इंस्टाग्राम पोस्ट द्वारा सोशल मीडिया पर हलचल पैदा होने के बाद की गई है.
The Pennsylvania push: Kamala Harris, Donald Trump spend final campaign hours in swing state	पेन्सिलवेनिया पुश: कमला हैरिस, डोनाल्ड ट्रम्प चुनावी घंटों का आखिरी विज्ञापन राज्य में बिताते हैं।	पेंसिल्वेनिया की कोशिश: कमला हैरिस, डोनाल्ड ट्रंप स्विंग राज्य में अंतिम प्रचार के घंटे बिताते हैं।	पेंसिल्वेनिया पुश: कमला हैरिस, डोनाल्ड ट्रंप उनके अंतिम प्रचार घंटे स्विंग स्टेट में व्यतीत कर रहे हैं।
Delhi engulfed in smog, toxic foam in Yamuna: Pics that capture national capital's pollution woes	दिल्ली धुंध में लिपटी, यमुना में विषैला फोम: तस्वीरें जो राष्ट्रीय राजधानी के प्रदूषण समस्याओं को कैप्चर करती हैं।	दिल्ली धुएं में डूबी, यमुना में विषैला झाग: राष्ट्रीय राजधानी की प्रदूषण समस्याओं को दर्शाती तस्वीरें।	दिल्ली में स्मॉग ने घेर लिया, यमुना में जहरीला फोम: राष्ट्रीय राजधानी की प्रदूषण समस्याओं को कैप्चर करने वाली तस्वीरें
Will Muslim boycott of Kamala send Trump to the White House?	क्या मुस्लिम कमाला के बहिष्कार से ट्रंप को सफेद घर भेजेगा?	क्या मुसलमानों का कमला का बहिष्कार ट्रम्प को व्हाइट हाउस भेजेगा?	क्या कामाला के मुस्लिम बहिष्कार ट्रंप को व्हाइट हाउस भेज देंगे?
Why Indian batters are struggling against left-arm spin	भारतीय बल्लेबाज वाम हाथ के स्पिनर्स के खिलाफ संघर्ष क्यों कर रहे हैं?	भारतीय बल्लेबाज बाएं हाथ के स्पिन के खिलाफ संघर्ष क्यों कर रहे हैं?	भारतीय बल्लेबाज़ लेफ्ट-आर्म स्पिन के विरुद्ध संघर्ष क्यों कर रहे हैं?
JD Vance calls Kamala Harris 'trash' at Atlanta rally: 'In 2 days we're taking out the garbage'	JD वैंस अटलांटा रैली में कमला हैरिस को 'कूड़ा' कहते हैं: '2 दिन में हम कूड़ा बाहर निकाल रहे हैं।'	JD वेंस ने अटलांटा रैली में कमला हैरिस को 'कचरा' कहा: '2 दिनों में हम कचरे को बाहर निकाल रहे हैं।'	जेडी वांस उनकी (कमला हैरिस) को 'कचरा' कहते हैं: '2 दिन में हम कचरे को हटा देंगे'
Meghan and Harry feel life in US hasn't been what they expected: Ex-staff	मेघन और हैरी को लगता है कि अमेरिका में जीवन उनकी उम्मीदों के अनुसार नहीं बीता है: पूर्व कर्मचारी।	मेघन और हैरी को लगता है कि अमेरिका में जीवन वैसा नहीं रहा जैसा उन्होंने उम्मीद की थी: पूर्व कर्मचारी	मेगन और हैरी का मानना है कि अमेरिका में जीवन उनकी उम्मीदों के अनुरूप नहीं रहा है: पूर्व-स्टाफ।
Elon Musk reacts to reports that he could be deported for immigration violation	अधिकारियों ने अलोन मस्क के प्रति प्रतिक्रिया दी है कि उन्हें प्रवासन उल्लंघन के लिए विदेश भेज दिया जा सकता है।	एलन मस्क ने उन रिपोर्टों पर प्रतिक्रिया दी है कि उन्हें आव्रजन उल्लंघन के लिए निर्वासित किया जा सकता है।	एलोन मस्क ने आव्रजन उल्लंघन के लिए उनकी निर्वासन की खबरों पर प्रतिक्रिया व्यक्त की।
